Смартфоны HTC,3 750 руб.,м. Строгино,https://avito.ru/moskva/telefony/smartfony_htc_1270786396
HTC,2 300 руб.,м. Новокосино,https://avito.ru/moskva/telefony/htc_1512720076
HTC,1 000 руб.,,https://avito.ru/moskva/telefony/htc_1681413519?slocation=637640
HTC,5 000 руб.,,https://avito.ru/moskva/telefony/htc_1129292461?slocation=637640
HTC,1 500 руб.,м. Менделеевская,https://avito.ru/moskva/telefony/htc_1429833821
HTC Touch P3450 Elf на запчасти,300 руб.,м. Спортивная,https://avito.ru/moskva/telefony/htc_touch_p3450_elf_na_zapchasti_998604987
HTC,900 руб.,м. Алтуфьево,https://avito.ru/moskva/telefony/htc_319970214
HTC Desire A8181,900 руб.,м. Саларьево,https://avito.ru/moskva/telefony/htc_desire_a8181_1395727965
HTC One V,1 000 руб.,м. Каховская,https://avito.ru/moskva/telefony/htc_one_v_1055305579
HTC One M9,8 000 руб.,,https://avito.ru/moskva/telefony/htc_one_m9_1540504109?slocation=637640
HTC Salsa C510e,2 500 руб.,,https://avito.ru/moskva/telefony/htc_salsa_c510e_1294759974?slocation=637640
HTC,4 500 руб.,м. Кузьминки,https://avito.ru/moskva/telefony/htc_1066287344
HTC Desire 620 dual sim,4 000 руб.,м. Медведково,https://avito.ru/moskva/telefony/htc_desire_620_dual_sim_949804996
HTC T3333 Touch2,500 руб.,м. Планерная,https://avito.ru/moskva/telefony/htc_t3333_touch2_1465622467
HTC,3 500 руб.,,https://avito.ru/moskva/telefony/htc_1665162910?slocation=637640
HTC,1 400 руб.,м. Войковская,https://avito.ru/moskva/telefony/htc_1613089029
HTC One m9 e,7 000 руб.,,https://avito.ru/moskva/telefony/htc_one_m9_e_1179931431?slocation=637640
HTC wildfire S.texet TM-103.HTC 3300.SAMSUNG GT-S,500 руб.,м. Выхино,https://avito.ru/moskva/telefony/htc_wildfire_s.texet_tm-103.htc_3300.samsung_gt-s_1120062230
HTC One M9,7 000 руб.,м. Юго-Западная,https://avito.ru/moskva/telefony/htc_one_m9_1430016119
HTC Chacha,3 999 руб.,,https://avito.ru/moskva/telefony/htc_chacha_716250571
"Htc desire X. 2 Sim-карты. Полный комплект, Рст",3 700 руб.,,https://avito.ru/moskva/telefony/htc_desire_x._2_sim-karty._polnyy_komplekt_rst_1435252400
HTC,2 000 руб.,,https://avito.ru/moskva/telefony/htc_1402931187?slocation=637640
"HTC One 32GB (гарантия, чек)",2 490 руб.,м. Динамо,https://avito.ru/moskva/telefony/htc_one_32gb_garantiya_chek_1093677891
